Timestamp,Server_ID,Power_Usage_Watts,Energy_kWh,Carbon_Emission,hour,day,weekday,Rolling_Mean,Rolling_Std,prediction,anomaly_score,iso_forest,sgd_svm,stat_ae
01-11-2025 00:00,S1,78,0.0065,0.00533,0,1,5,78.0,,-1,0.6535450065966506,-1,1,-1
01-11-2025 00:05,S1,119,0.009916667,0.008131667,0,1,5,98.5,28.99137803,-1,0.6122182241685841,-1,1,-1
01-11-2025 00:10,S1,136,0.011333333,0.009293333,0,1,5,111.0,29.81610303,-1,0.5381246585335722,-1,1,-1
01-11-2025 01:20,S1,135,0.01125,0.009225,1,1,5,106.6666667,12.85112894,-1,0.44982459390274165,-1,1,-1
01-11-2025 03:05,S1,133,0.011083333,0.009088333,3,1,5,104.75,13.39691281,-1,0.4622642471768538,-1,1,-1
01-11-2025 05:20,S1,136,0.011333333,0.009293333,5,1,5,104.25,20.9767187,-1,0.5276781040322271,-1,1,-1
01-11-2025 05:30,S1,121,0.010083333,0.008268333,5,1,5,106.0833333,21.43259342,-1,0.38281851786529436,-1,1,-1
01-11-2025 05:35,S1,138,0.0115,0.00943,5,1,5,106.5833333,22.15014194,-1,0.5033538531369,-1,1,-1
01-11-2025 05:40,S1,139,0.011583333,0.009498333,5,1,5,108.1666667,23.81303437,-1,0.5332213160421495,-1,1,-1
01-11-2025 05:45,S1,134,0.011166667,0.009156667,5,1,5,109.0833333,24.63352606,-1,0.4799731942384679,-1,1,-1
01-11-2025 07:20,S1,143,0.011916667,0.009771667,7,1,5,107.75,22.60782246,-1,0.518391217245665,-1,1,-1
01-11-2025 21:45,S1,126,0.0105,0.00861,21,1,5,102.0833333,14.11935057,-1,0.3881888665796533,-1,1,-1
01-11-2025 21:50,S1,130,0.010833333,0.008883333,21,1,5,104.1666667,16.26951043,-1,0.3861403627807071,-1,1,-1
01-11-2025 22:05,S1,128,0.010666667,0.008746667,22,1,5,104.75,17.35786434,-1,0.3800641946209837,-1,1,-1
01-11-2025 22:20,S1,117,0.00975,0.007995,22,1,5,103.1666667,18.42346988,-1,0.33758353864120627,-1,1,-1
01-11-2025 23:05,S1,136,0.011333333,0.009293333,23,1,5,105.8333333,16.06709417,-1,0.42400168959423223,-1,1,-1
01-11-2025 23:10,S1,136,0.011333333,0.009293333,23,1,5,110.0833333,16.78450765,-1,0.3624642572979506,-1,1,-1
01-11-2025 23:40,S1,135,0.01125,0.009225,23,1,5,112.5,19.94765878,-1,0.357273340357521,-1,1,-1
02-11-2025 00:25,S1,127,0.010583333,0.008678333,0,2,6,107.8333333,19.8165832,-1,0.38934728333922214,-1,1,-1
02-11-2025 01:25,S1,126,0.0105,0.00861,1,2,6,99.08333333,14.3048519,-1,0.49512169841977194,-1,1,-1
02-11-2025 02:00,S1,141,0.01175,0.009635,2,2,6,103.0833333,17.71213417,-1,0.5668232801020477,-1,1,-1
02-11-2025 02:05,S1,126,0.0105,0.00861,2,2,6,104.5,18.8703712,-1,0.4262617721516479,-1,1,-1
02-11-2025 02:40,S1,114,0.0095,0.00779,2,2,6,101.0833333,20.03841009,-1,0.4243904476512483,-1,1,-1
02-11-2025 02:45,S1,138,0.0115,0.00943,2,2,6,104.25,22.68008738,-1,0.5924344076693443,-1,1,-1
02-11-2025 02:55,S1,135,0.01125,0.009225,2,2,6,111.25,21.80127186,-1,0.4142357026918448,-1,1,-1
02-11-2025 14:25,S1,142,0.011833333,0.009703333,14,2,6,113.25,23.69551166,-1,0.4297417020301974,-1,1,-1
02-11-2025 14:50,S1,116,0.009666667,0.007926667,14,2,6,100.5,18.48586684,-1,0.35523386070817775,-1,1,-1
02-11-2025 20:25,S1,125,0.010416667,0.008541667,20,2,6,103.9166667,14.15150704,-1,0.3387370741880516,-1,1,-1
02-11-2025 20:40,S1,123,0.01025,0.008405,20,2,6,104.0,15.49780043,-1,0.3200941552870726,-1,1,-1
02-11-2025 22:25,S1,126,0.0105,0.00861,22,2,6,99.16666667,19.18727482,-1,0.46219969573488556,-1,1,-1
02-11-2025 22:30,S1,140,0.011666667,0.009566667,22,2,6,99.5,19.90660009,-1,0.5982243256564262,-1,1,-1
